Area,Location,Project_Name,BHK,Sale_price,Plot_no,Survey_no,GAT_No,No_Buildings,Brokerage_Lac,Covered_Parking,Open_Parking,cal_price,final_price
750,Dhayri,Goel Ganga Surya Ganga,2,0.42,"[nan, nan]",,,,0,0,0,4200000,4200000
1660,Balewadi,The canary ,4,1.68,"[nan, nan]",,,,0,1,0,16800000,16800000
720,Kharadi,Duville Riverdale Heights,2,0.79,"[nan, nan]",,,,1.5,0,1,7900000,7750000
850,Bavdhan,Bank Of Maharashtra Bavdhan,2,0.88,"[nan, nan]",,,,1,1,0,8800000,8700000
950,Dhayri,Paranjape Schemes Madhukosh,2,0.81,"[nan, nan]",,,,1.6,1,0,8100000,7940000
1160,Hinjewadi,Kolte Patil Life Republic 6th Avenue,3,0.9,"[nan, nan]",,,,0,1,0,9000000,9000000
2288,Viman Nagar,Naiknavare Eminence Project 2,4,3.78,"[nan, nan]",,,,0,0,1,37800000,37800000
680,Ambegaon Budruk,Afamilia,2,0.532,"[nan, nan]",,,,0,0,1,5320000,5320000
471,Ambegaon Budruk,Afamilia,1,0.3614,"[nan, nan]",,,,0,0,1,3614000,3614000
820,Hadapsar,Kumar Prospera A3 A4 And A5,2,0.9,"[nan, nan]",,,,0,0,1,9000000,9000000
460,Dhayri,DSK DSK Meghmalhar,1,0.34,"[nan, nan]",,,,0,1,0,3400000,3400000
1400,Baner,Kasturi The Balmoral Riverside,3,2.1,"[nan, nan]",,,,0,1,0,21000000,21000000
660,Ravet,OM MANGALAM CHAITANYA,2,0.48,"[nan, nan]",,,,0,1,0,4800000,4800000
2000,Wanowrie,Goel Satellite,3,2.5,"[nan, nan]",,,,2.5,1,0,25000000,24750000
815,Kharadi,Goel Ganga Serio,2,0.86,"[nan, nan]",,,,0,1,0,8600000,8600000
900,Kharadi,Geras Emerald City,2,0.82,"[nan, nan]",,,,1.6,1,0,8200000,8040000
1063,Kharadi,Duville Riverdale Residences I,3,1.08,"[nan, nan]",,,,2.2,1,0,10800000,10580000
1478,Kothrud,eklavya Collage kothrud,3,2,"[nan, nan]",,,,1.5,1,0,20000000,19850000
430,Dhayri,Dhankawade Tamrind Park Phase 1,1,0.32,"[nan, nan]",,,,0,1,0,3200000,3200000
1013,Wadgaon Sheri,Bramha Corp The Collection,3,1.3,"[nan, nan]",,,,0,1,0,13000000,13000000
3500,Mundhwa,Koregaon Park Annexe,5,3.75,"[nan, nan]",,,,3.8,0,1,37500000,37120000
978,Anand Nagar,Al Track Shantanu,2,0.8,,,,,1.6,1,0,8000000,7840000
978,Anand Nagar,Al Track Shantanu,2,0.8,,,,,1.6,1,0,8000000,7840000
850,Hadapsar,Kumar Prospera,2,0.92,"[nan, nan]",,,,0,0,1,9200000,9200000
700,Dhayri,DSK DSK Meghmalhar,2,0.55,"[nan, nan]",,,,0,1,0,5500000,5500000
3160,Ghorpadi,Amar Renaissance,4,5.4,"[nan, nan]",,,,5,1,0,54000000,53500000
1400,Chandan Nagar,Chandan Nagar,3,1.75,"[nan, nan]",,,,1.8,1,0,17500000,17320000
731,Kondhwa,Kumar Palmgrove Pune,2,0.55,"[nan, nan]",,,,0,0,1,5500000,5500000
1320,Kharadi,Shubh Aaugusta,2,0.9,"[nan, nan]",,,,1.5,1,0,9000000,8850000
1050,Koregaon Park,mughal garden,2,1.55,"[nan, nan]",,,,1.6,1,0,15500000,15340000
1209,Baner,Mandarin 33 West Avenue,3,1.6,"[nan, nan]",,,,0,1,0,16000000,16000000
870,Hadapsar,Kumar Prospera,2,1.04,"[nan, nan]",,,,0,1,0,10400000,10400000
3048,Pashan,Kumar Privie Sanctum A1 And B1,4,7.5,"[nan, nan]",,,,3.5,1,0,75000000,74650000
693,Pimpri Chinchwad,Kesar Kingdom,2,0.5436,,,,,0,0,0,5436000,5436000
754,Pimpri Chinchwad,Kesar Kingdom,2,0.5958,,,,,0,0,0,5958000,5958000
325,Pirangut,Apex Ambar,2,0.2,,,,,0,0,0,2000000,2000000
643,Pirangut,Apex Ambar,2,0.4,,,,,0,0,0,4000000,4000000
1400,Wagholi,Raviraj Ozone Villas,3,0.9,"[nan, nan]",,,,1,1,0,9000000,8900000
895,Mundhwa,Malkani Bon Vivant,2,0.7,"[nan, nan]",,,,1.4,1,0,7000000,6860000
1243,Chokhi Dhani,VTP Altair,3,1.2,"[nan, nan]",,,,0,0,0,12000000,12000000
760,Bavdhan,Bavdhan,2,0.78,"[nan, nan]",,,,0,1,0,7800000,7800000
1210,Kharadi,Nyati Elysia,3,1.25,"[nan, nan]",,,,2,0,1,12500000,12300000
462,Charholi Budruk,amarnath buildcon paradise,1,0.2758,"[nan, nan]",,,,0,1,0,2758000,2758000
824,Mundhwa,Puravankara Purva Silversands,2,0.93,"[nan, nan]",,,,0,1,0,9300000,9300000
1050,Mundhwa,Goel Ganga Carnation,2,1.06,"[nan, nan]",,,,1.1,1,0,10600000,10490000
1402,Baner,Kasturi The Balmoral Riverside,3,2.15,"[nan, nan]",,,,0,1,0,21500000,21500000
488,Sus,Grandeza,1,0.312,,,,,0,0,0,3120000,3120000
693,Sus,Grandeza,2,0.433,,,,,0,0,0,4330000,4330000
697,Hinjewadi,Shapoorji Pallonji Sensorium,2,0.6806,,,,9,0,0,0,6806000,6806000
979,Hinjewadi,Shapoorji Pallonji Sensorium,3,1.01,,,,9,0,0,0,10100000,10100000
547,Manjari,Godrej Boulevard,2,0.562,,,,4,0,0,0,5620000,5620000
938,Manjari,Godrej Boulevard,3,0.864,,,,4,0,0,0,8640000,8640000
408,Talegaon Dabhade,Namrata Happycity Varale,1,0.2243,,47 Part,,3,0,0,0,2243000,2243000
561,Talegaon Dabhade,Namrata Happycity Varale,2,0.32,,47 Part,,3,0,0,0,3200000,3200000
723,Chokhi Dhani,VTP Altair,2,0.72,"[nan, nan]",,,,0,0,0,7200000,7200000
2399,Pashan,Kumar Selena B,4,4.02,"[nan, nan]",,,,2.5,1,0,40200000,39950000
493,Kharadi,Duville Riverdale Heights,1,0.6,"[nan, nan]",,,,0,0,1,6000000,6000000
1590,Kharadi,Ganga Platino Phase III,3,1.9,"[nan, nan]",,,,0,0,1,19000000,19000000
2200,Kharadi,Panchshil Eon Waterfront,4,2.75,"[nan, nan]",,,,2.8,1,0,27500000,27220000
510,Charholi Budruk,Amarnath buildcon,1,0.33,"[nan, nan]",,,,0,1,0,3300000,3300000
850,Kharadi,Ratan Presitge,2,0.66,"[nan, nan]",,,,1.6,0,1,6600000,6440000
650,Moshi,Rama Krystal City,2,0.42,"[nan, nan]",,,,0,1,0,4200000,4200000
669,Dhanori,Goodwill Breeza ,2,0.5278,"[nan, nan]",,,,0,1,0,5278000,5278000
577,Chikhali,nexus shree residency,2,0.318,"[nan, nan]",,,,0,0,1,3180000,3180000
750,Charholi Budruk,Pride Wellington,2,0.6,"[nan, nan]",,,,0,1,0,6000000,6000000
457,Chikhali,Jadhav Wadi,1,0.26,"[nan, nan]",,,,0,1,0,2600000,2600000
715,Dhanori,Gini Belvista ,2,0.503,"[nan, nan]",,,,0,0,0,5030000,5030000
820,Mahalunge,Godrej Hillside 2,3,0.7,"[nan, nan]",,,,0,1,0,7000000,7000000
704,Porwal Road,Amorapolis,2,0.5661,,12-Apr,,8,0,0,0,5661000,5661000
1021,Porwal Road,Amorapolis,3,0.791,,12-Apr,,8,0,0,0,7910000,7910000
310,Kamshet,Namrata Weekender Birds View,1,0.26,"[nan, nan]",,,,0,0,0,2600000,2600000
566,Pimpri Chinchwad,Legacy Ivy,2,0.6068,,,,7,0,0,0,6068000,6068000
671,Pimpri Chinchwad,Legacy Ivy,2,0.6375,,,,7,0,0,0,6375000,6375000
867,Kondhwa,Kool Homes Solitaire Phase 2,2,0.89,"[nan, nan]",,,3,0,0,0,8900000,8900000
710,Kondhwa Budruk,Three Jewels,2,0.45,"[nan, nan]",,,,0,1,0,4500000,4500000
1120,Kondhwa Budruk,Three Jewels,3,0.75,"[nan, nan]",,,,0,1,0,7500000,7500000
840,Handewadi,Vedant Kingston Aura A B C D E,2,0.43,"[nan, nan]",,,,0,0,1,4300000,4300000
780,Kondhwa Budruk,Three Jewels,2,0.53,"[nan, nan]",,,,0,1,0,5300000,5300000
600,Wakad,Garve Amora Homes,1,0.44,"[nan, nan]",,,,0,1,0,4400000,4400000
1150,Hadapsar,Ahura Pearl Tower ,3,0.92,"[nan, nan]",,,,0,0,1,9200000,9200000
740,Pirangut,NG Madhupushpa,2,0.4,"[nan, nan]",,,,0,1,0,4000000,4000000
538,Bibwewadi,Ruturang society aranyeshwar mandir road,3,1.58,,,,,0,1,0,15800000,15800000
538,Bibwewadi,Ruturang society aranyeshwar mandir road,3,1.58,,,,,0,1,0,15800000,15800000
457,Ravet,M and M Morya,1,0.34,"[nan, nan]",,,,0,0,1,3400000,3400000
1171,Bibwewadi,Chordia Solitaire World,3,2.23,,578/1/3 ,,,0,0,0,22300000,22300000
2765,Bibwewadi,Chordia Solitaire World,4,5,,578/1/3 ,,,0,0,0,50000000,50000000
573,Pimpri Chinchwad,Arun Sheth Anika Piccadilly Phase 1,2,0.5483,,,,,0,0,0,5483000,5483000
607,Pimpri Chinchwad,Arun Sheth Anika Piccadilly Phase 1,2,0.5606,,,,,0,0,0,5606000,5606000
820,Wakad,Echoing Greens,2,0.68,"[nan, nan]",,,,0,1,0,6800000,6800000
380,Nasrapur,Isha garkul ,1,0.1375,"[nan, nan]",,,,0,0,1,1375000,1375000
